timestamp	user.id	role	turn.number	anonymised	edited	responding.to	sequence	seq.type	focus	resource	assessment
2021-01-27 08:03:45	student011	student	1	Hi <TEACHER>!	Hi <TEACHER>!		1.0	opening			
2021-01-27 08:04:11	teacher008	teacher	2	Hello! :)	Hello! :)						
2021-01-27 08:04:16	teacher008	teacher	3	How are you doing?	How are you doing?		2.0	topic opening			
2021-01-27 08:04:28	student011	student	4	Fine thank you!	Fine thank you!						
2021-01-27 08:04:32	student011	student	5	How are you?	How are you?						
2021-01-27 08:04:43	student011	student	6	Sorry, I'm a bit late	Sorry, I'm a bit late		2a	topic development			
2021-01-27 08:05:11	student011	student	7	I was putting my new lense on the eye )	I was putting my new lens on the eye )						
2021-01-27 08:05:30	student011	student	8	Contact lence ))	Contact lens ))						
2021-01-27 08:05:35	student011	student	9	*lense	*lens			repair	writing		
2021-01-27 08:05:42	teacher008	teacher	10	No worries, do you mean contact lenses?	No worries, do you mean contact lenses?			scaffolding	writing		
2021-01-27 08:05:57	student011	student	11	Yes, But I have to wear just one	Yes, but I have to wear just the one						
2021-01-27 08:05:58	student011	student	12	))	))						
2021-01-27 08:05:59	teacher008	teacher	13	Yes, I'm with you. I didn't know you wore contacts!	Yes, I'm with you. I didn't know you wore contacts!						
2021-01-27 08:06:12	teacher008	teacher	14	Oh, I see!	Oh, I see!	11.0					
2021-01-27 08:07:06	student011	student	15	I've worn it since last Thursday )	I've worn it since last Thursday )	13.0					
2021-01-27 08:07:31	teacher008	teacher	16	I see! Nice present perfect :) How do you like it?	I see! Nice present perfect :) How do you like it?						
2021-01-27 08:07:39	student011	student	17	So It's ok you didn't know )))	So It's ok you didn't know )))	15.0					
2021-01-27 08:08:05	teacher008	teacher	18	Sure :)	Sure :)						
2021-01-27 08:08:16	student011	student	19	It's quite strange, but it's ok )	It's quite strange, but it's ok )	16.0					
2021-01-27 08:08:33	student011	student	20	Actually it's interesting and it's about our brain	Actually it's interesting and it's about our brain		2b	topic development			
2021-01-27 08:08:49	teacher008	teacher	21	Ooh, I love brain stuff, tell me!	Ooh, I love brain stuff, tell me!						
2021-01-27 08:09:23	student011	student	22	So the doctor said me that I have a very tiny 'kosoglazie'on my left eye	So the doctor told me that I have a very tiny 'kosoglazie' in my left eye			non-English	code switching		
2021-01-27 08:09:51	teacher008	teacher	23	Ok!	Ok!						
2021-01-27 08:09:59	student011	student	24	But I've had it since I was a child	But I've had it since I was a child						
2021-01-27 08:11:25	student011	student	25	So when I need to use that part of me left eye which has to be used for not far destination my brain switch off the part of left eye and I watch just with right one	So when I need to use that part of my left eye, which has to be used for objects that are close to me, my brain switches off the part of my left eye and I see with just the right one						
2021-01-27 08:12:07	teacher008	teacher	26	How interesting!	How interesting!						
2021-01-27 08:12:19	student011	student	27	I could be happen if the person who has this problem is longer than 10	It could happen if a person who has this problem is younger than 10						
2021-01-27 08:12:37	teacher008	teacher	28	is older than 10 you mean?	is older than 10 you mean?		2c	eliciting,repair	lexical resource		
2021-01-27 08:12:56	student011	student	29	In this age our brain is very flexible and can do things like that )	at this age our brain is very flexible and can do things like that )	27.0					
2021-01-27 08:13:13	student011	student	30	sorry, yonger	sorry, younger	28.0					
