timestamp	user.id	role	turn.number	anonymised	edited	responding.to	sequence	seq.type	focus	resource	assessment
2020-06-30 06:58:18	student009	student	1	Hello	Hello		1.0	opening			
2020-06-30 06:59:07	student009	student	2	<TEACHER>?	<TEACHER>?						
2020-06-30 06:59:57	student009	student	3	are you here?	are you here?						
2020-06-30 07:01:06	student009	student	4	hello???	hello???						
2020-06-30 07:03:43	student009	student	5	hi???	hi???						
2020-06-30 07:06:30	teacher008	teacher	6	Hi <STUDENT>!	Hi <STUDENT>!						
2020-06-30 07:06:38	student009	student	7	hello	hello						
2020-06-30 07:06:43	teacher008	teacher	8	Sorry, I got distracted for a second	Sorry, I got distracted for a second						
2020-06-30 07:06:46	teacher008	teacher	9	How are you?	How are you?		2.0	topic opening			
2020-06-30 07:06:50	student009	student	10	fine	fine						
2020-06-30 07:06:54	student009	student	11	and you?	and you?						
2020-06-30 07:07:03	teacher008	teacher	12	Great, thank you!	Great, thank you!						
2020-06-30 07:07:16	teacher008	teacher	13	Did you have a good weekend?	Did you have a good weekend?		2a	topic development			
2020-06-30 07:07:24	student009	student	14	yes	yes						
2020-06-30 07:07:55	teacher008	teacher	15	So, are you allowed to leave your house and go to shops / cinemas etc?	So, are you allowed to leave your house and go to shops / cinemas etc?		3.0	topic opening			
2020-06-30 07:08:20	student009	student	16	we can go shopping	we can go shopping						
2020-06-30 07:08:57	teacher008	teacher	17	Only essential shopping or non-essential too?	Only essential shopping or non-essential too?						
2020-06-30 07:09:23	student009	student	18	what does it mean 'essential'?	what does 'essential' mean?		3a	enquiry	lexical resource,meaning		
2020-06-30 07:09:47	teacher008	teacher	19	Oh, 'essential' means necessary and important	Oh, 'essential' means necessary and important			scaffolding	lexical resource,meaning		
2020-06-30 07:10:12	teacher008	teacher	20	Shopping for food, medicine and toiletries is considered essential shopping	Shopping for food, medicine and toiletries is considered essential shopping			scaffolding	lexical resource,meaning		
2020-06-30 07:10:22	student009	student	21	I think non-essential	I think non-essential	17.0					
2020-06-30 07:10:47	student009	student	22	I bought some clothes	I bought some clothes						
2020-06-30 07:10:52	teacher008	teacher	23	Aha, so you can shop for clothes, books etc?	Aha, so you can shop for clothes, books etc?						
2020-06-30 07:10:55	teacher008	teacher	24	Yes, I see!	Yes, I see!						
2020-06-30 07:11:09	student009	student	25	yes, we can	yes, we can						
2020-06-30 07:11:14	teacher008	teacher	26	Non-essential shops were allowed to open here maybe last week	Non-essential shops were allowed to open here maybe last week		3b	topic development			
2020-06-30 07:11:35	student009	student	27	that's nice	that's nice						
2020-06-30 07:11:53	teacher008	teacher	28	But I haven't been in any of them :)	But I haven't been in any of them :)						
2020-06-30 07:11:59	student009	student	29	why?	why?						
2020-06-30 07:12:10	student009	student	30	you don't really need it?	you don't really need it?						
2020-06-30 07:12:37	teacher008	teacher	31	It's not fun anymore! You have to queue outside while social distancing	It's not fun anymore! You have to queue outside while social distancing						
2020-06-30 07:12:51	teacher008	teacher	32	I buy things online	I buy things online						
2020-06-30 07:12:51	student009	student	33	oh, I understand	oh, I understand						
2020-06-30 07:13:04	student009	student	34	I don't like online shopping	I don't like online shopping		3c	topic development			
2020-06-30 07:13:20	teacher008	teacher	35	Oh really? why not?	Oh really? why not?						
2020-06-30 07:14:16	student009	student	36	when you buy some food online, delivery can get you not the best and newest food	when you buy food online, the food that is delivered is not the freshest						
2020-06-30 07:14:56	teacher008	teacher	37	Oh I see, yes, I know in Kyiv supermarkets don't really do deliveries	Oh I see, yes, I know in Kyiv supermarkets don't really do deliveries						
2020-06-30 07:15:39	student009	student	38	when you buy clothes, it can suit you or not, maybe the size isn't correct	when you buy clothes, they can suit you or not, maybe the size isn't correct	36.0					
2020-06-30 07:15:56	student009	student	39	and then you wait again for long	and then you wait again for a long time						
2020-06-30 07:16:04	student009	student	40	No, they do!	No, they do!	37.0					
2020-06-30 07:16:13	student009	student	41	not all of them	not all of them						
2020-06-30 07:16:17	teacher008	teacher	42	Food can be out of date / past it's best, or it can be - (the opposite)?	Food can be out of date / past it's best, or it can be - (the opposite)?		4.0	eliciting,repair	lexical resource		
2020-06-30 07:16:33	teacher008	teacher	43	sorry, 'past its best'	sorry, 'past its best'			repair	writing		
2020-06-30 07:16:49	student009	student	44	worst	worst	42.0					
2020-06-30 07:17:09	teacher008	teacher	45	If the food is really nice, just picked or cooked, it's ...	If the food is really nice, just picked or cooked, it's ...			eliciting	lexical resource		
2020-06-30 07:17:25	student009	student	46	fresh?	fresh?						
2020-06-30 07:17:32	teacher008	teacher	47	yes!	yes!						
2020-06-30 07:17:38	teacher008	teacher	48	not 'new', right? :)	not 'new', right? :)						
2020-06-30 07:17:47	student009	student	49	yea	yea						
2020-06-30 07:18:20	teacher008	teacher	50	And if the food from yesterday is still in the fridge, it's ____ food	And if the food from yesterday is still in the fridge, it's ____ food		4a	eliciting,revision	lexical resource		
2020-06-30 07:19:05	student009	student	51	frized?	refrigerated?						
2020-06-30 07:19:15	teacher008	teacher	52	A word from last class!	A word from last class!						
2020-06-30 07:19:38	student009	student	53	I don't understand...	I don't understand...						
2020-06-30 07:20:06	teacher008	teacher	54	Remember we learnt a word that describes the food saved from the previous day?	Remember we learnt a word that describes the food saved from the previous day?						
2020-06-30 07:20:39	teacher008	teacher	55	Left....?	Left....?						
2020-06-30 07:20:49	student009	student	56	yes,leftover food	yes,leftover food						
2020-06-30 07:20:58	teacher008	teacher	57	Yes, correct!	Yes, correct!						
2020-06-30 07:21:06	teacher008	teacher	58	or leftovers	or leftovers						
2020-06-30 07:21:23	teacher008	teacher	59	Another word from before: what's the sound that a mouse makes?	Another word from before: what's the sound that a mouse makes?		4b	eliciting,revision	lexical resource		
2020-06-30 07:21:37	student009	student	60	squeak	squeak						
2020-06-30 07:21:57	teacher008	teacher	61	Yes, correct!	Yes, correct!						
2020-06-30 07:22:23	teacher008	teacher	62	There's an expression in English, 'A squeaky wheel gets the grease'	There's an expression in English, 'A squeaky wheel gets the grease'		4c	presentation	lexical resource		
2020-06-30 07:22:27	teacher008	teacher	63	What do you think it means?	What do you think it means?						
2020-06-30 07:22:49	student009	student	64	what does it mean grease?	what does 'grease' mean?		4d	enquiry	lexical resource,meaning		
2020-06-30 07:23:23	teacher008	teacher	65	It's the oil that we can use on a wheel to stop the squeak	It's the oil that we can use on a wheel to stop the squeak						
2020-06-30 07:23:50	student009	student	66	oh , okay	oh , okay						
2020-06-30 07:24:36	student009	student	67	so I think it means that everyone who needs help will always get it?	so I think it means that everyone who needs help will always get it?	63.0					
2020-06-30 07:24:49	teacher008	teacher	68	Ah, good idea! Close!	Ah, good idea! Close!						
2020-06-30 07:25:12	teacher008	teacher	69	It means that people who talk about their problems will get the help	It means that people who talk about their problems will get the help			scaffolding	lexical resource,meaning		
2020-06-30 07:25:22	teacher008	teacher	70	and people who are quiet will not	and people who are quiet will not			scaffolding	lexical resource,meaning		
2020-06-30 07:25:32	student009	student	71	okay	okay						
2020-06-30 07:25:48	teacher008	teacher	72	it's a bit negative	it's a bit negative			scaffolding	lexical resource,meaning		
2020-06-30 07:26:21	student009	student	73	?	?						
