timestamp	user.id	role	turn.number	anonymised	edited	responding.to	sequence	seq.type	focus	resource	assessment
2021-01-12 15:04:58	student012	student	1	Hello!	Hello!		1.0	opening			
2021-01-12 15:05:10	teacher008	teacher	2	Hiya!	Hiya!						
2021-01-12 15:05:13	teacher008	teacher	3	How are you?	How are you?		2.0	topic opening			
2021-01-12 15:05:39	student012	student	4	I'm fine! I have a full house here ))))	I'm fine! I have a full house here ))))						
2021-01-12 15:05:54	teacher008	teacher	5	both <STUDENT'S CHILD> and <STUDENT'S HUSBAND>?	both <STUDENT'S CHILD> and <STUDENT'S HUSBAND>?						
2021-01-12 15:05:56	student012	student	6	How are you?	How are you?		2a	topic development			
2021-01-12 15:06:07	student012	student	7	<STUDENT'S CHILD>, <STUDENT'S HUSBAND>, the nanny, my mom	<STUDENT'S CHILD>, <STUDENT'S HUSBAND>, the nanny, my mom	5.0					
2021-01-12 15:06:29	student012	student	8	My mom visited quite unexpectedly	My mom visited quite unexpectedly						
2021-01-12 15:06:30	teacher008	teacher	9	Oh goodness, well, I appreciate your commitment in showing up for the class!	Oh goodness, well, I appreciate your commitment in showing up for the class!						
2021-01-12 15:07:17	student012	student	10	Oh sure! I was on my way to school when my mom called and said she's visiting	Oh sure! I was on my way to school when my mom called and said she's visiting						
2021-01-12 15:07:28	teacher008	teacher	11	I'm good, thank you, but really going stir-crazy this time around I feel!	I'm good, thank you, but really going stir-crazy this time around I feel!	6.0					
2021-01-12 15:07:47	teacher008	teacher	12	Ah, were you trying to escape to school?	Ah, were you trying to escape to school?	10.0					
2021-01-12 15:07:59	student012	student	13	How long will the lockdown last?	How long will the lockdown last?	11.0					
2021-01-12 15:08:23	student012	student	14	Always)) The school has become my escape	Always)) The school has become my escape	12.0					
2021-01-12 15:08:31	teacher008	teacher	15	No one knows! Until it has at least some effect. It's proving very hard to reign in this 'new variant' of the virus	No one knows! Until it has at least some effect. It's proving very hard to reign in this 'new variant' of the virus	13.0					
2021-01-12 15:08:49	teacher008	teacher	16	Haha, yes, it's the same for <ANOTHER STUDENT> I think	Haha, yes, it's the same for <ANOTHER STUDENT> I think	14.0					
2021-01-12 15:09:31	student012	student	17	I think so too. It's really hard to concentrate at home.	I think so too. It's really hard to concentrate at home.						
2021-01-12 15:09:56	teacher008	teacher	18	Well, no, the government said that school are closed until the end of February, but it's also felt that not enough people abide by the rules this time, which, coupled with a more contagious virus, might mean that the lockdown won't work	Well, no, the government said that school are closed until the end of February, but it's also felt that not enough people abide by the rules this time, which, coupled with a more contagious virus, might mean that the lockdown won't work	15.0					
2021-01-12 15:10:10	teacher008	teacher	19	*schools	*schools			repair	writing		
2021-01-12 15:11:09	student012	student	20	I can't help but wonder is this what life is going to be like from now on. The lockdowns, the new variants of the virus...	I can't help but wonder is this what life is going to be like from now on. The lockdowns, the new variants of the virus...	18.0					
2021-01-12 15:11:40	teacher008	teacher	21	They are throwing everything at vaccinating people at the moment, which is our way out	They are throwing everything at vaccinating people at the moment, which is our way out						
2021-01-12 15:12:04	student012	student	22	Until it evolves and the vaccine won't work any more	Until it evolves and the vaccine won't work any more						
2021-01-12 15:12:13	teacher008	teacher	23	I know, so scary!	I know, so scary!						
2021-01-12 15:13:23	student012	student	24	How's your gardening? Let's talk about sonething positive)))	How's your gardening? Let's talk about something positive)))		3.0	topic opening			
2021-01-12 15:13:26	teacher008	teacher	25	How are you guys? I know you had covid over the winter holidays, is it ok to ask you about that?	How are you guys? I know you had covid over the winter holidays, is it ok to ask you about that?		4.0	topic opening			
2021-01-12 15:13:52	teacher008	teacher	26	Haha, well, talking at cross purposes ever so slightly here	Haha, well, talking at cross purposes ever so slightly here	24.0					
2021-01-12 15:14:34	teacher008	teacher	27	There's not enough to do in the garden for me at the moment! I daydream about spring and summer. But we did plant some trees this weekend, a sour cherry, a plum and an apple	There's not enough to do in the garden for me at the moment! I daydream about spring and summer. But we did plant some trees this weekend, a sour cherry, a plum and an apple						
2021-01-12 15:14:56	student012	student	28	Sure. We're fine. The covid was a strange experience, loosing the sense of smell and taste	Sure. We're fine. The covid was a strange experience, losing the sense of smell and taste	26.0					
2021-01-12 15:15:21	teacher008	teacher	29	Oh I bet!	Oh I bet!						
2021-01-12 15:15:35	student012	student	30	A sour cherry yay! The one for varenyky	A sour cherry yay! The one for varenyky	27.0					
2021-01-12 15:15:54	teacher008	teacher	31	Exactly <STUDENT>, exactly :))))	Exactly <STUDENT>, exactly :))))						
2021-01-12 15:16:15	student012	student	32	Yum!	Yum!						
2021-01-12 15:16:34	teacher008	teacher	33	It's a very young sapling, unfortunately, so it's probably going to be a 5-year wait	It's a very young sapling, unfortunately, so it's probably going to be a 5-year wait						
2021-01-12 15:16:39	teacher008	teacher	34	before my first vareniki	before my first vareniki						
2021-01-12 15:16:41	student012	student	35	Oh no	Oh no						
2021-01-12 15:16:43	teacher008	teacher	36	But I can do it!	But I can do it!						
2021-01-12 15:16:49	student012	student	37	but it's worth it	but it's worth it						
2021-01-12 15:16:57	teacher008	teacher	38	Yes! :)	Yes! :)						
2021-01-12 15:17:36	student012	student	39	I hope the first crop will be a bumper one	I hope the first crop will be a bumper one						
2021-01-12 15:17:48	teacher008	teacher	40	Ooh, thank you :)) yes, me too!	Ooh, thank you :)) yes, me too!						
2021-01-12 15:18:41	teacher008	teacher	41	Ok, shall we dive in with some exam prep?	Ok, shall we dive in with some exam prep?		5.0	exercise	grammatical resource	website	
2021-01-12 15:18:49	student012	student	42	Yes! Let's do that	Yes! Let's do that						
2021-01-12 15:19:24	teacher008	teacher	43	Ok! This is the 'one word for each space' task	Ok! This is the 'one word for each space' task						
2021-01-12 15:19:27	teacher008	teacher	44	Men and women are often considered to be completely at odds with each other, in terms (1)   their attitudes and behaviour. Not so when they are in love, new research has discovered. As far as their hormone levels are (2) , when men and women are in love, they are more similar to each other (3)   at any other time.  It has (4)   been known that love can (5)   havoc with hormone levels. For example the hormone cortisol, (6)   is known for its calming effect on the body, dips dramatically when one person is attracted to (7)  , putting the love-struck on a par with sufferers of obsessive compulsive disorder.  But a new study has found that the hormone testosterone, commonly associated with male aggression, also falls when he is in love. In women, it's quite the (8)  . Testosterone levels, which (9)   to be lower among females, rise towards (10)   of the male.  Donatella Marazziti of the University of Pisa, Italy, (11)   this down to nature attempting to eliminate the differences between the sexes. (12)   doing so, they can concentrate fully (13)   reproduction. This suggestion seems to be supported by the fact that (14)   couples in a long (15)   relationship, nor participants in the study who were single at the time of the experiment, exhibited such changes.	Men and women are often considered to be completely at odds with each other, in terms (1)   their attitudes and behaviour. Not so when they are in love, new research has discovered. As far as their hormone levels are (2) , when men and women are in love, they are more similar to each other (3)   at any other time.  It has (4)   been known that love can (5)   havoc with hormone levels. For example the hormone cortisol, (6)   is known for its calming effect on the body, dips dramatically when one person is attracted to (7)  , putting the love-struck on a par with sufferers of obsessive compulsive disorder.  But a new study has found that the hormone testosterone, commonly associated with male aggression, also falls when he is in love. In women, it's quite the (8)  . Testosterone levels, which (9)   to be lower among females, rise towards (10)   of the male.  Donatella Marazziti of the University of Pisa, Italy, (11)   this down to nature attempting to eliminate the differences between the sexes. (12)   doing so, they can concentrate fully (13)   reproduction. This suggestion seems to be supported by the fact that (14)   couples in a long (15)   relationship, nor participants in the study who were single at the time of the experiment, exhibited such changes.						
2021-01-12 15:19:52	student012	student	45	1) of	1) of						
2021-01-12 15:19:59	teacher008	teacher	46	romance, Cambridge English way	romance, Cambridge English way	44.0					
2021-01-12 15:20:00	teacher008	teacher	47	yes!	yes!	45.0					
2021-01-12 15:20:47	student012	student	48	2) concerned?	2) concerned?						
2021-01-12 15:20:52	teacher008	teacher	49	correct!	correct!						
2021-01-12 15:21:06	student012	student	50	3) than	3) than						
2021-01-12 15:21:13	teacher008	teacher	51	yes)	yes)						
2021-01-12 15:21:26	student012	student	52	4) also?	4) also?						
2021-01-12 15:21:32	student012	student	53	5) wreak	5) wreak						
2021-01-12 15:21:47	teacher008	teacher	54	yes for 5, no for 4	yes for 5, no for 4	52, 53					
2021-01-12 15:22:10	student012	student	55	recently?	recently?						
2021-01-12 15:22:21	teacher008	teacher	56	the idea in 4 is to contrast new research with what scientists knew before	the idea in 4 is to contrast new research with what scientists knew before			scaffolding	lexical resource		
2021-01-12 15:22:37	student012	student	57	I have a football game in the background ))))))	I have a football game in the background ))))))		5a	disruption			
2021-01-12 15:22:46	teacher008	teacher	58	like, we always knew that love could wreak havoc...	like, we always knew that love could wreak havoc...	56.0		scaffolding	lexical resource		
2021-01-12 15:23:12	student012	student	59	<STUDENT'S CHILD>'s playing ball with her grandma	<STUDENT'S CHILD>'s playing ball with her grandma	57.0					
2021-01-12 15:23:31	teacher008	teacher	60	Haha, goodness , that must be distracting	Haha, goodness , that must be distracting						
2021-01-12 15:23:50	student012	student	61	very)))) I have no headphones	very)))) I have no headphones						
2021-01-12 15:23:50	teacher008	teacher	62	I'm having a rare moment of peace because <TEACHER'S HUSBAND> took <TEACHER'S CHILD> out	I'm having a rare moment of peace because <TEACHER'S HUSBAND> took <TEACHER'S CHILD> out						
2021-01-12 15:24:02	student012	student	63	Oh perfect!	Oh perfect!						
2021-01-12 15:24:03	teacher008	teacher	64	Oh no, I'm sorry! And here I am rubbing it in	Oh no, I'm sorry! And here I am rubbing it in	61.0					
2021-01-12 15:24:05	student012	student	65	Good for you!	Good for you!	63.0					
2021-01-12 15:24:07	teacher008	teacher	66	Ah wait, they are back	Ah wait, they are back						
2021-01-12 15:24:12	student012	student	67	That's ok	That's ok						
2021-01-12 15:24:18	teacher008	teacher	68	:))	:))						
2021-01-12 15:24:31	student012	student	69	How long have they been away?	How long have they been away?						
2021-01-12 15:24:57	student012	student	70	It has 4) always  been known?	It has 4) always  been known?	58.0					
2021-01-12 15:25:01	teacher008	teacher	71	Not long enough! 24 minutes	Not long enough! 24 minutes	71.0					
2021-01-12 15:25:13	teacher008	teacher	72	Ah, you're very close with 4	Ah, you're very close with 4	70.0					
2021-01-12 15:25:26	teacher008	teacher	73	let me know if you want the answer	let me know if you want the answer						
2021-01-12 15:25:35	student012	student	74	You probably timed it))) You've given such a precise estimate	You probably timed it))) You've given such a precise estimate	71.0					
2021-01-12 15:26:01	teacher008	teacher	75	Haha, they left at 3	Haha, they left at 3						
2021-01-12 15:26:24	student012	student	76	OK. Help please with 4	OK. Help please with 4	73.0					
2021-01-12 15:26:37	student012	student	77	with the 4th	with the 4th						
2021-01-12 15:26:41	teacher008	teacher	78	long: It has long been known	long: It has long been known			scaffolding	lexical resource		
2021-01-12 15:26:49	student012	student	79	Riiiight	Riiiight						
2021-01-12 15:27:06	teacher008	teacher	80	Yeah, it's one of those!	Yeah, it's one of those!						
2021-01-12 15:27:12	student012	student	81	I think I would have guessed it in a more relaxed setting	I think I would have guessed it in a more relaxed setting						
2021-01-12 15:27:23	teacher008	teacher	82	I'll paste the text again for you, so that you don't have to scroll up and down	I'll paste the text again for you, so that you don't have to scroll up and down		5b	exercise	grammatical resource		
