timestamp	user.id	role	turn.number	anonymised	edited	responding.to	sequence	seq.type	focus	resource	assessment
2020-12-18 13:30:16	student009	student	1	hi, I will be a bit late today , is that okay?	hi, I will be a bit late today, is that okay?		1.0	disruption			
2020-12-18 13:30:51	teacher008	teacher	3	Hi <STUDENT>! Do you need more time?	Hi <STUDENT>! Do you need more time?						
2020-12-18 13:30:56	student009	student	4	yes	yes						
2020-12-18 13:31:05	teacher008	teacher	5	Ok, sure, how long do you need?	Ok, sure, how long do you need?						
2020-12-18 13:31:09	student009	student	6	I am still not at home	I am still not at home						
2020-12-18 13:31:40	student009	student	7	I think 15 minutes I think	I think 15 minutes						
2020-12-18 13:31:45	student009	student	8	maybe less	maybe less						
2020-12-18 13:31:57	teacher008	teacher	9	ok, no worries	ok, no worries						
2020-12-18 13:32:00	teacher008	teacher	10	travel safe	travel safe						
2020-12-18 13:46:22	student009	student	11	hi	hi		2.0	opening			
2020-12-18 13:47:13	teacher008	teacher	12	Hi <STUDENT>!	Hi <STUDENT>!						
2020-12-18 13:47:17	teacher008	teacher	13	All ok with you?	All ok with you?		3.0	topic opening			
2020-12-18 13:48:10	student009	student	14	yes	yes						
2020-12-18 13:49:16	teacher008	teacher	15	Did you get a detention? :))	Did you get a detention? :))						
2020-12-18 13:49:19	student009	student	16	no	no						
2020-12-18 13:49:43	student009	student	17	traffic	traffic						
2020-12-18 13:49:48	student009	student	18	jams	jams						
2020-12-18 13:49:55	student009	student	19	in Kyiv )	in Kyiv )						
2020-12-18 13:50:18	teacher008	teacher	20	Ah, I see :)	Ah, I see :)						
2020-12-18 13:50:21	teacher008	teacher	21	do you know	do you know		3a	eliciting	lexical resource,meaning		
2020-12-18 13:50:26	teacher008	teacher	22	a detention'?	a detention'?						
2020-12-18 13:50:30	student009	student	23	yes	yes						
2020-12-18 13:51:13	teacher008	teacher	24	ok)) Harry Potter got a lot of them, but I'm sure you don't :)	ok)) Harry Potter got a lot of them, but I'm sure you don't :)						
2020-12-18 13:51:47	student009	student	25	we don't have detentions in my school	we don't have detentions in my school						
2020-12-18 13:52:27	teacher008	teacher	26	That's good! I hope you haven't got Dolores Umbridge :)	That's good! I hope you haven't got Dolores Umbridge :)						
2020-12-18 13:53:03	student009	student	27	NO	NO						
2020-12-18 13:53:24	teacher008	teacher	28	:))	:))						
2020-12-18 13:54:02	teacher008	teacher	29	Ok, I'm going to be on holiday starting from next week and until January 4, so there will be no chats until then!	Ok, I'm going to be on holiday starting from next week and until January 4, so there will be no chats until then!		4.0	topic opening			
2020-12-18 13:54:16	teacher008	teacher	30	But I do understand that the beginning of January is when your holiday is!	But I do understand that the beginning of January is when your holiday is!						
2020-12-18 13:54:29	teacher008	teacher	31	So you just let me know whether you can make it that week, ok?	So you just let me know whether you can make it that week, ok?						
2020-12-18 13:55:02	student009	student	32	I think I would be able to do that	I think I would be able to do that						
2020-12-18 13:55:50	teacher008	teacher	33	Ok, I'll pencil our class in for Tuesday 5 January, but I'll text you before that	Ok, I'll pencil our class in for Tuesday 5 January, but I'll text you before that						
2020-12-18 13:56:12	student009	student	34	yes	yes						
2020-12-18 13:56:19	teacher008	teacher	35	Have you got big plans for your holiday?	Have you got big plans for your holiday?		5.0	topic opening			
2020-12-18 13:56:54	student009	student	36	no	no						
2020-12-18 13:57:10	teacher008	teacher	37	Any plans at all? What are you looking forward to?	Any plans at all? What are you looking forward to?						
2020-12-18 13:57:56	student009	student	38	maybe I wanna to see my friends	maybe I wanna see my friends						
2020-12-18 13:58:21	teacher008	teacher	39	Oh yes, I remember, you mentioned that!	Oh yes, I remember, you mentioned that!						
