timestamp	user.id	role	turn.number	anonymised	edited	responding.to	sequence	seq.type	focus	resource	assessment
2021-03-03 08:01:04	student011	student	1	Sorry, it's my name as usual )	Sorry, it's my name as usual )		1.0	opening			
2021-03-03 08:01:05	student011	student	2	Hi	Hi						
2021-03-03 08:01:06	student011	student	3	)	)						
2021-03-03 08:01:15	teacher008	teacher	4	Hi <STUDENT>!	Hi <STUDENT>!						
2021-03-03 08:01:18	teacher008	teacher	5	It's ok :)	It's ok :)	1.0					
2021-03-03 08:01:26	teacher008	teacher	6	How are you?	How are you?		2.0	topic opening			
2021-03-03 08:02:13	student011	student	7	Fine, but quite (razbitaya) )	Fine, but quite (razbitaya) )			non-English	code switching,lexical resource		
2021-03-03 08:02:39	teacher008	teacher	8	Oh, are you feeling exhausted? Sorry to hear that!	Oh, are you feeling exhausted? Sorry to hear that!			scaffolding	lexical resource		
2021-03-03 08:02:58	student011	student	9	I don't know if it's the weather changes or I just have to sleep more in the night )	I don't know if it's the weather changes or I just have to sleep more at night )						
2021-03-03 08:03:04	student011	student	10	How are you? )	How are you? )		2a	topic development			
2021-03-03 08:03:23	teacher008	teacher	11	The beginning of spring is never easy in my experience, we have so little energy left!	The beginning of spring is never easy in my experience, we have so little energy left!	9.0					
2021-03-03 08:03:41	teacher008	teacher	12	I'm quite tired too, actually, and fed up with the lockdown. I don't even bake anymore!	I'm quite tired too, actually, and fed up with the lockdown. I don't even bake anymore!	10.0					
2021-03-03 08:03:44	student011	student	13	I mean I'm OK, but I fell not 100%	I mean I'm OK, but I don't feel 100%	11.0					
2021-03-03 08:03:56	teacher008	teacher	14	You know 'fed up with'?	You know 'fed up with'?		2b	eliciting	lexical resource,meaning		
2021-03-03 08:04:27	student011	student	15	I see! It's so hard to be at home all the time and try to work when all the family is there	I see! It's so hard to be at home all the time and try to work when all the family is there	12.0					
2021-03-03 08:04:54	student011	student	16	Yes! I know 'fed up', like I'm full of it )	Yes! I know 'fed up', like I'm full of it )	14.0					
2021-03-03 08:05:16	teacher008	teacher	17	Yes, like 'I've had enough of it'	Yes, like 'I've had enough of it'			scaffolding	lexical resource,meaning		
2021-03-03 08:06:07	teacher008	teacher	18	Yes, indeed! And we can't even go anywhere in our lovely car until March 29	Yes, indeed! And we can't even go anywhere in our lovely car until March 29	15.0					
2021-03-03 08:06:39	student011	student	19	Oh, no!	Oh, no!						
2021-03-03 08:06:53	teacher008	teacher	20	I noticed I seem to be starting every lesson with complaints about the lockdown... I'll try to be more positive in the future!	I noticed I seem to be starting every lesson with complaints about the lockdown... I'll try to be more positive in the future!						
2021-03-03 08:06:55	student011	student	21	I'm sorry about it	I'm sorry about it	19.0					
2021-03-03 08:07:04	student011	student	22	haha	haha	20.0					
2021-03-03 08:07:07	teacher008	teacher	23	Thank you))	Thank you))	21.0					
2021-03-03 08:07:39	student011	student	24	I'm ready to be your therapist on the lesson ))	I'm ready to be your therapist during the lesson ))						
2021-03-03 08:08:11	teacher008	teacher	25	How's your new marketing campaign? I noticed <STUDENT'S EMPLOYEE> comment in some Russian-learning group with some ALMA tips	How's your new marketing campaign? I noticed <STUDENT'S EMPLOYEE> comment in some Russian-learning group with some ALMA tips		3.0	topic opening			
2021-03-03 08:08:15	student011	student	26	At least you complain in perfect English )))	At least you complain in perfect English )))	24.0					
2021-03-03 08:08:23	teacher008	teacher	27	Aww, thank you, I appreciate it!	Aww, thank you, I appreciate it!	24.0					
2021-03-03 08:08:39	teacher008	teacher	28	Not always))	Not always))	26.0					
2021-03-03 08:09:12	student011	student	29	Ok, we decided just to try posting on Facebook and we will see if it works	Ok, we decided just to try posting on Facebook and we will see if it works	25.0					
2021-03-03 08:09:21	student011	student	30	we are not sure 100%	we are not sure 100%						
2021-03-03 08:09:56	teacher008	teacher	31	Yes, it's hard to know for sure, but it sounds like a good place to start	Yes, it's hard to know for sure, but it sounds like a good place to start						
2021-03-03 08:10:23	student011	student	32	And at the same time we will have a 2,5-months marketing course and we will change our strategy I think	And at the same time we will have a 2,5-months marketing course and we will change our strategy I think						
2021-03-03 08:11:12	teacher008	teacher	33	Ok, I see! with the lovemark lady? or with 'papa'?	Ok, I see! with the lovemark lady? or with 'papa'?						
