timestamp	user.id	role	turn.number	anonymised	edited	responding.to	sequence	seq.type	focus	resource	assessment
2021-04-16 12:31:32	student009	student	1	Hi, <TEACHER>! How are you?How was your weekend?	Hi, <TEACHER>! How are you? How was your weekend?		1.0	opening,topic opening			
2021-04-16 12:31:36	teacher008	teacher	2	Hi <STUDENT>!	Hi <STUDENT>!						
2021-04-16 12:32:08	teacher008	teacher	3	I'm great, thank you! We had a really nice Easter holiday, with a short spell of nice weather .now it's really cold again.	I'm great, thank you! We had a really nice Easter holiday, with a short spell of nice weather .now it's really cold again.	1.0					
2021-04-16 12:32:47	teacher008	teacher	4	What about you? How have you been?	What about you? How have you been?		1a	topic development			
2021-04-16 12:33:12	student009	student	5	I am fine, it's lockdown here again	I am fine, it's a lockdown here again						
2021-04-16 12:33:29	teacher008	teacher	6	Yes, I know! How's it going for you?	Yes, I know! How's it going for you?						
2021-04-16 12:33:34	student009	student	7	okay	okay						
2021-04-16 12:33:52	teacher008	teacher	8	Are you studying from home again?	Are you studying from home again?						
2021-04-16 12:34:02	student009	student	9	yeah	yeah						
2021-04-16 12:35:01	teacher008	teacher	10	Ok, I've actually prepared a few phrases for you, to talk about how things are	Ok, I've actually prepared a few phrases for you, to talk about how things are		2.0	presentation	lexical resource,grammatical resource		
2021-04-16 12:35:13	student009	student	11	okie	okie						
2021-04-16 12:35:15	teacher008	teacher	12	Do you the word 'advantage'?	Do you the word 'advantage'?			eliciting	lexical resource,meaning		
2021-04-16 12:35:19	teacher008	teacher	13	an advantage	an advantage						
2021-04-16 12:35:24	student009	student	14	yes	yes						
2021-04-16 12:35:45	teacher008	teacher	15	Yes, a positive thing about something, right?	Yes, a positive thing about something, right?			scaffolding	lexical resource		
2021-04-16 12:36:00	student009	student	16	like pros .and cons.	like pros (and cons)						
2021-04-16 12:36:01	teacher008	teacher	17	What's the opposite of advantage? a ...advantage	What's the opposite of advantage? a ...advantage		2a	eliciting	lexical resource		
2021-04-16 12:36:16	student009	student	18	disadvantage	disadvantage						
2021-04-16 12:36:17	teacher008	teacher	19	Yes, an advantage = a pro	Yes, an advantage = a pro	16.0		scaffolding	lexical resource		
