timestamp	user.id	role	turn.number	anonymised	edited	responding.to	sequence	seq.type	focus	resource	assessment
2021-02-04T08:10:24+00:00+00:00+00:00	teacher008	teacher	1	Hi <STUDENT>!	Hi <STUDENT>!		1.0	opening			
2021-02-04T08:10:30+00:00+00:00+00:00	teacher008	teacher	2	Here I am, sorry!	Here I am, sorry!						
2021-02-04T08:11:44+00:00+00:00+00:00	student011	student	3	Hi!	Hi!	1.0					
2021-02-04T08:12:02+00:00+00:00+00:00	student011	student	4	It's ok! I needed some time too	It's ok! I needed some time too	2.0					
2021-02-04T08:12:35+00:00+00:00+00:00	teacher008	teacher	5	Good :)	Good :)						
2021-02-04T08:12:37+00:00+00:00+00:00	student011	student	6	Today I'm with <STUDENT'S CHILD> at home	Today I'm with <STUDENT'S CHILD> at home		2.0	topic opening			
2021-02-04T08:12:41+00:00+00:00+00:00	teacher008	teacher	7	How are you today?	How are you today?						
2021-02-04T08:12:50+00:00+00:00+00:00	student011	student	8	Fine, thank you	Fine, thank you						
2021-02-04T08:12:51+00:00+00:00+00:00	teacher008	teacher	9	Oh I see! Has the nanny cancelled?	Oh I see! Has the nanny cancelled?	6.0					
2021-02-04T08:13:00+00:00+00:00+00:00	student011	student	10	How are you? How is your neck?	How are you? How is your neck?		2a	topic development			
2021-02-04T08:13:28+00:00+00:00+00:00	teacher008	teacher	11	Much better, thank you! But now I've got to teach myself to sleep in a better position, which is really hard!	Much better, thank you! But now I've got to teach myself to sleep in a better position, which is really hard!						
2021-02-04T08:13:54+00:00+00:00+00:00	student011	student	12	No, no, she is here on Mondays, Wednesdays and Fridays. So today a nanny is me ))	No, no, she is here on Mondays, Wednesdays and Fridays. So today the nanny is me ))	9.0					
2021-02-04T08:14:26+00:00+00:00+00:00	student011	student	13	do you prefer to sleep on the back?	Do you prefer to sleep on the back?	11.0					
2021-02-04T08:14:33+00:00+00:00+00:00	teacher008	teacher	14	Aah, of course, I'm with you! I'll try to offer you classes on Mondays, Wednesdays and Fridays then	Aah, of course, I'm with you! I'll try to offer you classes on Mondays, Wednesdays and Fridays then	12.0					
2021-02-04T08:14:51+00:00+00:00+00:00	teacher008	teacher	15	I sleep on my front, but I have to sleep on my side or my back!	I sleep on my front, but I have to sleep on my side or my back!	13.0					
