timestamp	user.id	role	turn.number	anonymised	edited	responding.to	sequence	seq.type	focus	resource	assessment
2021-06-17 12:17:50	student012	student	1	Hello!	Hello!		1.0	opening			
2021-06-17 12:18:02	student012	student	2	Sorry for being late	Sorry for being late						
2021-06-17 12:18:25	student012	student	3	I really needed to have my lunch. I was starving)))	I really needed to have my lunch. I was starving)))						
2021-06-17 12:18:57	teacher008	teacher	4	Hi <STUDENT>!	Hi <STUDENT>!	1.0					
2021-06-17 12:19:03	teacher008	teacher	5	No worries, totally understand :)	No worries, totally understand :)	3.0					
2021-06-17 12:19:07	teacher008	teacher	6	What did you have?	What did you have?		2.0	topic opening			
2021-06-17 12:19:47	student012	student	7	I've had schnitzel with nut salad and fries	I've had a schnitzel with some nut salad and fries						
2021-06-17 12:20:17	teacher008	teacher	8	Oh goodness, it sounds so nice! I haven't had a schnitzel for ages	Oh goodness, it sounds so nice! I haven't had a schnitzel for ages						
2021-06-17 12:20:24	student012	student	9	It was extraordinary. I have finally found the perfect glovo restaurant	It was extraordinary. I have finally found the perfect Glovo restaurant						
2021-06-17 12:20:35	teacher008	teacher	10	glovo?	glovo?						
2021-06-17 12:20:50	student012	student	11	Glovo is a delivery service. Like Uber Eats	Glovo is a delivery service. Like Uber Eats						
2021-06-17 12:21:02	teacher008	teacher	12	Aah, I see!	Aah, I see!						
2021-06-17 12:21:15	student012	student	13	There are plenty of restaurants to choose from	There are plenty of restaurants to choose from						
2021-06-17 12:21:39	teacher008	teacher	14	Sounds great!	Sounds great!						
2021-06-17 12:21:43	student012	student	15	Having tried quite a few. I've finally managed to find a good one with great lunch options	Having tried quite a few, I've finally managed to find a good one with great lunch options						
2021-06-17 12:22:02	teacher008	teacher	16	When we finally go to Ukraine, I'll be asking you for some tips :)	When we finally go to Ukraine, I'll be asking you for some tips :)						
2021-06-17 12:22:39	student012	student	17	Sure! I just wanted to write that I'll give you явки и пароли once you arrive	Sure! I just wanted to write that I'll give you явки и пароли once you arrive			non-English	code switching,lexical resource		
2021-06-17 12:22:53	student012	student	18	Dunno how to say this in English))	Dunno how to say this in English))		2a	enquiry	lexical resource		
2021-06-17 12:23:28	teacher008	teacher	19	Haha, yes please! Well, the names...  I don't think there's an idiom. At least I can't think of one	Haha, yes please! Well, the names...  I don't think there's an idiom. At least I can't think of one			scaffolding	lexical resource		
2021-06-17 12:24:03	teacher008	teacher	20	What's the covid situation like at the moment? Infections are going up again here :(	What's the covid situation like at the moment? Infections are going up again here :(		3.0	topic opening			
2021-06-17 12:24:55	student012	student	21	1188 cases for the past 24 hours	1188 cases in the past 24 hours						
2021-06-17 12:25:14	student012	student	22	I guess the stats are good	I guess the stats are good						
2021-06-17 12:25:19	teacher008	teacher	23	In Kyiv? or in Ukraine?	In Kyiv? or in Ukraine?						
2021-06-17 12:25:20	student012	student	24	is good?	is good?		3a	enquiry	grammatical resource		
2021-06-17 12:25:24	student012	student	25	in Ukraine	in Ukraine	23.0					
2021-06-17 12:25:37	student012	student	26	in Kyiv -- 251	in Kyiv -- 251						
2021-06-17 12:25:50	teacher008	teacher	27	statistics = plural noun	statistics = plural noun	24.0		scaffolding	lexical resource,grammatical resource		
