timestamp	user.id	role	turn.number	anonymised	edited	responding.to	sequence	seq.type	focus	resource	assessment
2020-08-25 07:00:54	student009	student	1	hello	hello		1.0	opening			
2020-08-25 07:01:08	teacher008	teacher	2	Hi <STUDENT>!	Hi <STUDENT>!						
2020-08-25 07:01:10	teacher008	teacher	3	How are you?	How are you?		2.0	topic opening			
2020-08-25 07:01:31	student009	student	4	I am fine , and you?	I am fine , and you?						
2020-08-25 07:01:49	teacher008	teacher	5	Fine, thank you	Fine, thank you						
2020-08-25 07:02:06	teacher008	teacher	6	I've just realised you're starting school next week!	I've just realised you're starting school next week!		2a	topic development			
2020-08-25 07:02:27	student009	student	7	I DON'T WANT TO HEAR ABOUT	I DON'T WANT TO HEAR ABOUT IT						
2020-08-25 07:02:31	student009	student	8	sorry	sorry						
2020-08-25 07:02:37	student009	student	9	I am just	I am just						
2020-08-25 07:02:41	teacher008	teacher	10	sorry!	sorry!	7.0					
2020-08-25 07:02:53	student009	student	11	very nervous about that	very nervous about that	9.0					
2020-08-25 07:03:17	student009	student	12	I am absolutely not ready!	I am absolutely not ready!						
2020-08-25 07:03:24	teacher008	teacher	13	aww, sorry to hear that!	aww, sorry to hear that!						
2020-08-25 07:03:39	teacher008	teacher	14	I guess no one is truly ready for what this academic year might bring!	I guess no one is truly ready for what this academic year might bring!						
2020-08-25 07:04:03	teacher008	teacher	15	Have you had a chance to think about our classes?	Have you had a chance to think about our classes?		2b	topic development			
2020-08-25 07:05:00	student009	student	16	I don't know	I don't know						
2020-08-25 07:05:05	student009	student	17	I can't say	I can't say						
2020-08-25 07:05:32	teacher008	teacher	18	You don't know how much time / workload you're likely to have?	You don't know how much time / workload you're likely to have?						
2020-08-25 07:05:44	student009	student	19	I don't	I don't						
2020-08-25 07:07:57	teacher008	teacher	20	Right, in this case we will finish this week, and you will have a think for a couple of weeks and see how it all goes and let me know by the middle of September, ok?	Right, in this case we will finish this week, and you will have a think for a couple of weeks and see how it all goes and let me know by the middle of September, ok?						
