timestamp	user.id	role	turn.number	anonymised	edited	responding.to	sequence	seq.type	focus	resource	assessment
2021-01-26 13:29:37	student009	student	1	hi!How are you?	Hi! How are you?		1.0	opening			
2021-01-26 13:29:48	teacher008	teacher	2	Hi <STUDENT>!	Hi <STUDENT>!						
2021-01-26 13:29:54	teacher008	teacher	3	All good, how are you?	All good, how are you?	1.0					
2021-01-26 13:30:10	student009	student	4	me too	me too						
2021-01-26 13:30:22	teacher008	teacher	5	How was your birthday??	How was your birthday??		2.0	topic opening			
2021-01-26 13:30:29	student009	student	6	fine	fine						
2021-01-26 13:30:49	student009	student	7	we had some fun on Saturday	we had some fun on Saturday						
2021-01-26 13:30:57	teacher008	teacher	8	Were you able to see your friends? Did you have any nice presents?	Were you able to see your friends? Did you have any nice presents?		2a	topic development			
2021-01-26 13:31:24	student009	student	9	I celebrated with my friends	I celebrated with my friends						
2021-01-26 13:31:39	teacher008	teacher	10	Nice!	Nice!						
2021-01-26 13:32:12	student009	student	11	and I have enough money to buy smth	and I have enough money to buy smth						
2021-01-26 13:32:26	teacher008	teacher	12	Ooh, nice! What might you buy?	Ooh, nice! What might you buy?		2b	topic development			
2021-01-26 13:32:46	student009	student	13	what is better- ipad or iphone?	what is better- an iPad or an iPhone?						
2021-01-26 13:33:44	teacher008	teacher	14	Hmm, to be honest I have none! My phone is an android and I've never had a tablet, just a laptop	Hmm, to be honest I have none! My phone is an android and I've never had a tablet, just a laptop						
2021-01-26 13:34:05	student009	student	15	I want to buy a tablet for school	I want to buy a tablet for school						
2021-01-26 13:34:09	teacher008	teacher	16	What are the pros and cons of each in your opinion?	What are the pros and cons of each in your opinion?		2c	topic development			
2021-01-26 13:34:47	student009	student	17	there are to much books and sometimes my back hurts	there are too many books and sometimes my back hurts	15.0					
2021-01-26 13:35:15	teacher008	teacher	18	too ___ books	too ___ books		2d	eliciting,repair	grammatical resource		
2021-01-26 13:35:37	student009	student	19	so I have started searching a nice ipad	so I have started searching for a nice ipad	17.0					
2021-01-26 13:35:41	student009	student	20	many	many	18.0					
2021-01-26 13:35:42	teacher008	teacher	21	Oh yes, I remember that problem from school. My deskmate and I used to divide the books between us	Oh yes, I remember that problem from school. My deskmate and I used to divide the books between us	19.0					
2021-01-26 13:35:55	teacher008	teacher	22	yes, many, books are countable!	yes, many, books are countable!	20.0		scaffolding	grammatical resource		
2021-01-26 13:36:15	student009	student	23	my deskmate is awful	my deskmate is awful	21.0					
2021-01-26 13:36:25	teacher008	teacher	24	Have you got all your books in e-format?	Have you got all your books in e-format?						
2021-01-26 13:36:32	teacher008	teacher	25	Oh no, that's a shame!	Oh no, that's a shame!	23.0					
2021-01-26 13:37:03	student009	student	26	like we just find the copy of the book in the internet	like we just find the copy of the book in the internet	24.0					
2021-01-26 13:37:09	student009	student	27	and upload it	and upload it						
2021-01-26 13:37:38	teacher008	teacher	28	I see, that's so convenient!	I see, that's so convenient!						
2021-01-26 13:38:48	teacher008	teacher	29	It's definitely a strong argument for an ipad, right?	It's definitely a strong argument for an ipad, right?						
2021-01-26 13:39:20	student009	student	30	I had a folder for my notebooks, and because of the books it	I had a folder for my notebooks, and because of the books it	28.0					
2021-01-26 13:39:25	student009	student	31	broke	broke						
2021-01-26 13:39:31	student009	student	32	yes it is	yes it is	29.0					
2021-01-26 13:40:14	teacher008	teacher	33	Are there any cons?	Are there any cons?		2e	topic development			
2021-01-26 13:40:26	student009	student	34	hmm	hmm						
2021-01-26 13:40:40	student009	student	35	not all teachers supirt such books)	not all teachers support such books)						
2021-01-26 13:40:46	student009	student	36	support	support			repair	writing		
2021-01-26 13:41:25	teacher008	teacher	37	Oh yes, I can see that. Even with one book for both of us, my deskmate and I were told off for not having a book each!	Oh yes, I can see that. Even with one book for both of us, my deskmate and I were told off for not having a book each!						
2021-01-26 13:41:28	student009	student	38	one year ago I had an Ipad, but it is very old, so we don't use it now	one year ago I had an iPad, but it is very old, so we don't use it now						
2021-01-26 13:41:35	student009	student	39	why?	why?	37.0					
2021-01-26 13:42:20	teacher008	teacher	40	They used to say we needed a book each! But that would mean each of us would have to lug around 6 books + all notebooks every day	They used to say we needed a book each! But that would mean each of us would have to lug around 6 books + all notebooks every day						
2021-01-26 13:43:01	student009	student	41	awful	awful						
2021-01-26 13:43:12	teacher008	teacher	42	Yes, it's a real problem!	Yes, it's a real problem!						
2021-01-26 13:43:22	teacher008	teacher	43	So what are the pros and cons of an iphone?	So what are the pros and cons of an iphone?		2f	topic development			
2021-01-26 13:44:25	student009	student	44	my phone will go to my mom:)	my phone will go to my mom:)						
2021-01-26 13:44:48	teacher008	teacher	45	Haha, ok :) the one you have now you mean?	Haha, ok :) the one you have now you mean?						
2021-01-26 13:45:00	student009	student	46	yes	yes						
2021-01-26 13:46:32	teacher008	teacher	47	But you won't be able to have all your books in it and read comfortably?	But you won't be able to have all your books in it and read comfortably?						
2021-01-26 13:46:52	student009	student	48	i don't like my deskmate because our class teacher made us to sit like that	I don't like my deskmate because our class teacher made us sit like that		2g	topic development			
2021-01-26 13:46:55	student009	student	49	yes	yes	47.0					
2021-01-26 13:47:06	teacher008	teacher	50	I see, it wasn't your choice?	I see, it wasn't your choice?	48.0					
